dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.870065,14.027000,0.000199,0.019900,0.995025,49.751244,0.000017
0.020000,2.870704,14.027000,0.000838,0.031957,0.602807,-19.610900,0.000187
0.020000,2.872142,14.027001,0.002276,0.071898,1.997093,69.714311,0.000567
0.020000,2.874539,14.027003,0.004672,0.119819,2.396013,19.945995,0.001202
0.020000,2.877893,14.027008,0.008027,0.167721,2.395111,-0.045082,0.002092
0.020000,2.882205,14.027020,0.012339,0.215598,2.393854,-0.062887,0.003237
0.020000,2.887474,14.027040,0.017608,0.263443,2.392248,-0.080289,0.004637
0.020000,2.893699,14.027075,0.023833,0.311249,2.390301,-0.097338,0.006295
0.020000,2.900879,14.027127,0.031013,0.359009,2.388023,-0.113912,0.008209
0.020000,2.909013,14.027202,0.039147,0.406718,2.385427,-0.129794,0.010383
0.020000,2.918100,14.027308,0.048235,0.454369,2.382524,-0.145140,0.012817
0.020000,2.928138,14.027450,0.058274,0.501955,2.379334,-0.159497,0.015511
0.020000,2.939126,14.027636,0.069263,0.549473,2.375874,-0.173004,0.018469
0.020000,2.951062,14.027876,0.081202,0.596916,2.372167,-0.185347,0.021692
0.020000,2.963944,14.028178,0.094087,0.644281,2.368235,-0.196596,0.025180
0.020000,2.977770,14.028552,0.107918,0.691563,2.364110,-0.206273,0.028936
0.020000,2.992538,14.029010,0.122694,0.738759,2.359818,-0.214593,0.032963
0.020000,3.008246,14.029561,0.138411,0.785867,2.355397,-0.221031,0.037260
0.020000,3.024890,14.030220,0.155069,0.832885,2.350885,-0.225602,0.041832
0.020000,3.042469,14.030998,0.172665,0.879811,2.346324,-0.228047,0.046679
0.020000,3.060980,14.031910,0.191198,0.926647,2.341762,-0.228133,0.051804
0.020000,3.080419,14.032971,0.210666,0.973392,2.337249,-0.225614,0.057208
0.020000,3.100783,14.034195,0.231067,1.020049,2.332844,-0.220272,0.062894
0.020000,3.122069,14.035600,0.252399,1.066621,2.328607,-0.211834,0.068863
0.020000,3.144274,14.037201,0.274661,1.113113,2.324607,-0.200036,0.075117
0.020000,3.167393,14.039017,0.297852,1.159531,2.320914,-0.184607,0.081657
0.020000,3.191423,14.041066,0.321970,1.205883,2.317611,-0.165192,0.088486
0.020000,3.216361,14.043368,0.347013,1.252179,2.314778,-0.141628,0.095604
0.020000,3.242202,14.045942,0.372982,1.298429,2.312509,-0.113465,0.103011
0.020000,3.268941,14.048811,0.399875,1.344647,2.310897,-0.080568,0.110710
0.020000,3.296575,14.051994,0.427692,1.390848,2.310047,-0.042504,0.118700
0.020000,3.325100,14.055516,0.456433,1.437049,2.310065,0.000874,0.126982
0.020000,3.354510,14.059399,0.486098,1.483270,2.311062,0.049875,0.135554
0.020000,3.384801,14.063667,0.516689,1.529534,2.313158,0.104790,0.144416
0.020000,3.415970,14.068345,0.548206,1.575863,2.316470,0.165589,0.153567
0.020000,3.448010,14.073460,0.580652,1.622286,2.321125,0.232741,0.163004
0.020000,3.480917,14.079036,0.614028,1.668830,2.327245,0.306000,0.172725
0.020000,3.514687,14.085102,0.648339,1.715530,2.334958,0.385676,0.182726
0.020000,3.549315,14.091685,0.683587,1.762417,2.344389,0.471543,0.193004
0.020000,3.584797,14.098814,0.719778,1.809531,2.355659,0.563521,0.203554
0.020000,3.621127,14.106518,0.756916,1.856908,2.368889,0.661457,0.214369
0.020000,3.658302,14.114827,0.795008,1.904592,2.384187,0.764913,0.225444
0.020000,3.696316,14.123773,0.834060,1.952625,2.401657,0.873522,0.236770
0.020000,3.735165,14.133385,0.874081,2.001053,2.421392,0.986744,0.248340
0.020000,3.774846,14.143697,0.915080,2.049922,2.443470,1.103875,0.260143
0.020000,3.815353,14.154740,0.957065,2.099281,2.467953,1.224143,0.272169
0.020000,3.856683,14.166549,1.000049,2.149179,2.494885,1.346610,0.284407
0.020000,3.898831,14.179155,1.044042,2.199665,2.524292,1.470342,0.296844
0.020000,3.941794,14.192595,1.089058,2.250788,2.556174,1.594108,0.309466
0.020000,3.985568,14.206900,1.135110,2.302599,2.590509,1.716772,0.322258
0.020000,4.030148,14.222108,1.182213,2.355144,2.627250,1.837054,0.335204
0.020000,4.075532,14.238251,1.230382,2.408470,2.666322,1.953599,0.348288
0.020000,4.121715,14.255367,1.279635,2.462623,2.707624,2.065094,0.361491
0.020000,4.168694,14.273489,1.329988,2.517643,2.751028,2.170182,0.374796
0.020000,4.216464,14.292653,1.381459,2.573571,2.796380,2.267598,0.388182
0.020000,4.265024,14.312893,1.434068,2.630441,2.843501,2.356085,0.401629
0.020000,4.314368,14.334246,1.487834,2.688285,2.892193,2.434566,0.415116
0.020000,4.364493,14.356744,1.542776,2.747129,2.942234,2.502042,0.428622
0.020000,4.415395,14.380422,1.598916,2.806997,2.993388,2.557699,0.442124
0.020000,4.467071,14.405313,1.656274,2.867905,3.045406,2.600936,0.455600
0.020000,4.519516,14.431451,1.714872,2.929866,3.098033,2.631326,0.469027
0.020000,4.572727,14.458865,1.774729,2.992886,3.151007,2.648696,0.482382
0.020000,4.626699,14.487587,1.835869,3.056967,3.204069,2.653093,0.495643
0.020000,4.681430,14.517647,1.898311,3.122107,3.256965,2.644801,0.508787
