dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.870097,12.173000,0.000199,0.019900,0.995025,49.751244,0.000017
0.020000,2.871050,12.173000,0.001152,0.047645,1.387243,19.610906,0.000187
0.020000,2.873194,12.173001,0.003296,0.107206,2.978031,79.539397,0.000567
0.020000,2.876768,12.173004,0.006870,0.178689,3.574136,29.805238,0.001202
0.020000,2.881772,12.173012,0.011874,0.250189,3.575039,0.045142,0.002092
0.020000,2.888206,12.173029,0.018308,0.321715,3.576294,0.062792,0.003237
0.020000,2.896072,12.173060,0.026173,0.393273,3.577900,0.080287,0.004637
0.020000,2.905369,12.173111,0.035471,0.464870,3.579847,0.097320,0.006295
0.020000,2.916099,12.173189,0.046201,0.536513,3.582123,0.113829,0.008209
0.020000,2.928263,12.173302,0.058365,0.608207,3.584721,0.129883,0.010383
0.020000,2.941861,12.173460,0.071964,0.679960,3.587620,0.144978,0.012817
0.020000,2.956895,12.173673,0.087000,0.751776,3.590810,0.159495,0.015511
0.020000,2.973366,12.173953,0.103473,0.823661,3.594269,0.172917,0.018469
0.020000,2.991275,12.174312,0.121386,0.895621,3.597976,0.185376,0.021692
0.020000,3.010622,12.174766,0.140739,0.967659,3.601904,0.196404,0.025180
0.020000,3.031410,12.175328,0.161534,1.039779,3.606031,0.206330,0.028936
0.020000,3.053639,12.176017,0.183774,1.111986,3.610319,0.214409,0.032963
0.020000,3.077310,12.176848,0.207460,1.184281,3.614738,0.220979,0.037260
0.020000,3.102424,12.177842,0.232593,1.256665,3.619249,0.225532,0.041832
0.020000,3.128981,12.179018,0.259176,1.329142,3.623808,0.227941,0.046679
0.020000,3.156981,12.180398,0.287210,1.401709,3.628368,0.228006,0.051804
0.020000,3.186425,12.182004,0.316697,1.474367,3.632878,0.225507,0.057208
0.020000,3.217311,12.183861,0.347639,1.547112,3.637281,0.220157,0.062894
0.020000,3.249640,12.185994,0.380038,1.619943,3.641516,0.211716,0.068863
0.020000,3.283409,12.188429,0.413895,1.692853,3.645514,0.199903,0.075117
0.020000,3.318617,12.191194,0.449212,1.765837,3.649202,0.184425,0.081657
0.020000,3.355262,12.194319,0.485990,1.838887,3.652504,0.165095,0.088486
0.020000,3.393340,12.197834,0.524230,1.911994,3.655333,0.141422,0.095604
0.020000,3.432847,12.201770,0.563933,1.985146,3.657600,0.113352,0.103011
0.020000,3.473779,12.206161,0.605099,2.058330,3.659207,0.080352,0.110710
0.020000,3.516130,12.211040,0.647730,2.131531,3.660054,0.042369,0.118700
0.020000,3.559892,12.216443,0.691824,2.204731,3.660033,-0.001062,0.126982
0.020000,3.605058,12.222406,0.737383,2.277912,3.659031,-0.050101,0.135554
