dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.870106,14.027000,0.000199,0.019900,0.995025,49.751244,6.283167
0.020000,2.871053,14.027000,0.001146,0.047342,1.372068,18.852171,6.283004
0.020000,2.873183,14.026999,0.003276,0.106521,2.958969,79.345031,6.282638
0.020000,2.876734,14.026996,0.006827,0.177542,3.551020,29.602549,6.282028
0.020000,2.881706,14.026988,0.011799,0.248571,3.551485,0.023259,6.281173
0.020000,2.888098,14.026972,0.018191,0.319614,3.552129,0.032197,6.280074
0.020000,2.895911,14.026942,0.026004,0.390673,3.552945,0.040781,6.278729
0.020000,2.905146,14.026894,0.035239,0.461751,3.553923,0.048903,6.277139
0.020000,2.915803,14.026820,0.045896,0.532852,3.555052,0.056457,6.275304
0.020000,2.927882,14.026712,0.057976,0.603979,3.556318,0.063330,6.273221
0.020000,2.941384,14.026562,0.071479,0.675133,3.557707,0.069407,6.270892
0.020000,2.956309,14.026359,0.086405,0.746317,3.559198,0.074565,6.268315
0.020000,2.972657,14.026093,0.102756,0.817532,3.560772,0.078680,6.265489
0.020000,2.990430,14.025751,0.120531,0.888780,3.562404,0.081620,6.262414
0.020000,3.009626,14.025320,0.139732,0.960062,3.564069,0.083249,6.259090
0.020000,3.030247,14.024786,0.160360,1.031376,3.565739,0.083492,6.255515
0.020000,3.052292,14.024134,0.182414,1.102724,3.567379,0.082032,6.251689
0.020000,3.075760,14.023347,0.205896,1.174103,3.568958,0.078949,6.247610
0.020000,3.100653,14.022407,0.230807,1.245512,3.570436,0.073881,6.243279
0.020000,3.126968,14.021296,0.257146,1.316947,3.571773,0.066854,6.238695
0.020000,3.154706,14.019993,0.284914,1.388406,3.572924,0.057527,6.233858
0.020000,3.183864,14.018480,0.314111,1.459883,3.573840,0.045806,6.228766
0.020000,3.214442,14.016732,0.344739,1.531372,3.574472,0.031609,6.223420
0.020000,3.246437,14.014728,0.376796,1.602867,3.574765,0.014680,6.217819
0.020000,3.279846,14.012442,0.410283,1.674361,3.574661,-0.005231,6.211964
0.020000,3.314666,14.009851,0.445200,1.745843,3.574099,-0.028096,6.205855
0.020000,3.350895,14.006928,0.481546,1.817303,3.573015,-0.054197,6.199492
0.020000,3.388526,14.003646,0.519321,1.888730,3.571341,-0.083696,6.192876
0.020000,3.427556,13.999976,0.558523,1.960110,3.569007,-0.116685,6.186009
0.020000,3.467979,13.995890,0.599152,2.031429,3.565943,-0.153244,6.178890
0.020000,3.509787,13.991358,0.641205,2.102670,3.562069,-0.193656,6.171523
0.020000,3.552974,13.986349,0.684681,2.173816,3.557314,-0.237775,6.163908
0.020000,3.597531,13.980832,0.729578,2.244848,3.551597,-0.285828,6.156049
0.020000,3.643448,13.974773,0.775893,2.315745,3.544841,-0.337800,6.147949
0.020000,3.690715,13.968141,0.823623,2.386485,3.536969,-0.393631,6.139610
0.020000,3.739319,13.960901,0.872764,2.457043,3.527902,-0.453359,6.131038
0.020000,3.789249,13.953020,0.923312,2.527394,3.517565,-0.516804,6.122235
0.020000,3.840490,13.944463,0.975262,2.597512,3.505887,-0.583921,6.113208
0.020000,3.893026,13.935196,1.028609,2.667368,3.492799,-0.654426,6.103961
0.020000,3.946841,13.925183,1.083348,2.736932,3.478236,-0.728145,6.094502
0.020000,4.001917,13.914390,1.139471,2.806175,3.462141,-0.804722,6.084837
0.020000,4.058234,13.902781,1.196973,2.875064,3.444465,-0.883833,6.074974
0.020000,4.115772,13.890322,1.255844,2.943568,3.425164,-0.965035,6.064921
0.020000,4.174508,13.876979,1.316077,3.011652,3.404207,-1.047833,6.054686
0.020000,4.234420,13.862716,1.377663,3.079283,3.381573,-1.131721,6.044281
0.020000,4.295481,13.847502,1.440591,3.146428,3.357251,-1.216104,6.033715
0.020000,4.357667,13.831303,1.504852,3.213053,3.331245,-1.300303,6.023000
0.020000,4.420950,13.814087,1.570435,3.279125,3.303570,-1.383723,6.012147
0.020000,4.485301,13.795824,1.637327,3.344610,3.274258,-1.465585,6.001170
0.020000,4.550690,13.776484,1.705517,3.409477,3.243354,-1.545199,5.990081
0.020000,4.617087,13.756039,1.774991,3.473695,3.210917,-1.621869,5.978895
0.020000,4.684461,13.734462,1.845735,3.537236,3.177021,-1.694807,5.967625
0.020000,4.752780,13.711728,1.917737,3.600071,3.141754,-1.763362,5.956289
0.020000,4.822009,13.687813,1.990980,3.662175,3.105216,-1.826866,5.944900
0.020000,4.892116,13.662697,2.065451,3.723525,3.067523,-1.884685,5.933476
0.020000,4.963067,13.636359,2.141133,3.784101,3.028797,-1.936292,5.922032
0.020000,5.034829,13.608782,2.218010,3.843885,2.989173,-1.981211,5.910587
0.020000,5.107366,13.579950,2.296068,3.902861,2.948791,-2.019065,5.899158
0.020000,5.180645,13.549850,2.375288,3.961017,2.907800,-2.049573,5.887762
0.020000,5.254633,13.518472,2.455655,4.018344,2.866348,-2.072585,5.876418
0.020000,5.329297,13.485805,2.537152,4.074835,2.824588,-2.088029,5.865142
0.020000,5.404603,13.451844,2.619761,4.130489,2.782668,-2.095985,5.853954
0.020000,5.480521,13.416585,2.703467,4.185303,2.740735,-2.096637,5.842871
0.020000,5.557019,13.380026,2.788253,4.239282,2.698930,-2.090281,5.831912
0.020000,5.634069,13.342168,2.874102,4.292430,2.657383,-2.077338,5.821094
0.020000,5.711642,13.303012,2.960997,4.344754,2.616217,-2.058312,5.810436
0.020000,5.789712,13.262565,3.048922,4.396265,2.575540,-2.033822,5.799954
0.020000,5.868057,13.220938,3.137639,4.435849,1.979224,-29.815783,5.789691
0.020000,5.946271,13.178361,3.226691,4.452606,0.837846,-57.068925,5.779711
0.020000,6.023964,13.135074,3.315629,4.446891,-0.285752,-56.179891,5.770069
0.020000,6.100951,13.091220,3.404230,4.430062,-0.841448,-27.784788,5.760790
0.020000,6.177246,13.046837,3.492495,4.413266,-0.839787,0.083039,5.751873
0.020000,6.252862,13.001960,3.580426,4.396524,-0.837140,0.132321,5.743318
0.020000,6.327814,12.956623,3.668023,4.379851,-0.833643,0.174863,5.735123
0.020000,6.402118,12.910861,3.755288,4.363262,-0.829423,0.211012,5.727285
0.020000,6.475790,12.864707,3.842224,4.346770,-0.824601,0.241097,5.719803
0.020000,6.548846,12.818192,3.928831,4.330385,-0.819291,0.265521,5.712675
0.020000,6.621304,12.771346,4.015114,4.314113,-0.813598,0.284636,5.705898
