dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.870072,12.173000,0.000199,0.019900,0.995025,49.751244,6.283167
0.020000,2.870718,12.173000,0.000844,0.032260,0.617981,-18.852184,6.283004
0.020000,2.872169,12.172999,0.002296,0.072583,2.016156,69.908746,6.282638
0.020000,2.874589,12.172997,0.004715,0.120966,2.419129,20.148627,6.282028
0.020000,2.877975,12.172992,0.008102,0.169339,2.418664,-0.023251,6.281173
0.020000,2.882329,12.172981,0.012456,0.217699,2.418020,-0.032204,6.280074
0.020000,2.887650,12.172961,0.017777,0.266044,2.417204,-0.040800,6.278729
0.020000,2.893937,12.172928,0.024064,0.314368,2.416225,-0.048931,6.277139
0.020000,2.901191,12.172877,0.031318,0.362670,2.415095,-0.056490,6.275304
0.020000,2.909409,12.172804,0.039537,0.410947,2.413828,-0.063366,6.273221
0.020000,2.918593,12.172702,0.048720,0.459195,2.412439,-0.069444,6.270892
0.020000,2.928740,12.172564,0.058869,0.507414,2.410947,-0.074604,6.268315
0.020000,2.939850,12.172383,0.069981,0.555602,2.409372,-0.078725,6.265489
0.020000,2.951923,12.172151,0.082056,0.603756,2.407739,-0.081678,6.262414
0.020000,2.964958,12.171858,0.095093,0.651878,2.406072,-0.083330,6.259090
0.020000,2.978952,12.171496,0.109093,0.699966,2.404402,-0.083499,6.255515
0.020000,2.993906,12.171053,0.124053,0.748021,2.402759,-0.082155,6.251689
0.020000,3.009818,12.170520,0.139974,0.796045,2.401179,-0.078993,6.247610
0.020000,3.026687,12.169883,0.156855,0.844039,2.399699,-0.073998,6.243279
0.020000,3.044511,12.169130,0.174695,0.892006,2.398362,-0.066884,6.238695
0.020000,3.063289,12.168249,0.193494,0.939950,2.397209,-0.057609,6.233858
0.020000,3.083020,12.167224,0.213251,0.987876,2.396290,-0.045957,6.228766
0.020000,3.103702,12.166042,0.233967,1.035789,2.395656,-0.031699,6.223420
0.020000,3.125334,12.164687,0.255641,1.083696,2.395362,-0.014727,6.217819
0.020000,3.147913,12.163143,0.278273,1.131606,2.395463,0.005071,6.211964
0.020000,3.171439,12.161392,0.301864,1.179526,2.396023,0.027991,6.205855
0.020000,3.195909,12.159418,0.326413,1.227468,2.397105,0.054108,6.199492
0.020000,3.221321,12.157201,0.351922,1.275444,2.398777,0.083566,6.192876
0.020000,3.247674,12.154723,0.378391,1.323466,2.401107,0.116538,6.186009
0.020000,3.274966,12.151965,0.405822,1.371549,2.404171,0.153178,6.178890
0.020000,3.303195,12.148905,0.434217,1.419710,2.408040,0.193476,6.171523
0.020000,3.332359,12.145522,0.463576,1.467966,2.412794,0.237673,6.163908
0.020000,3.362455,12.141795,0.493903,1.516336,2.418508,0.285714,6.156049
0.020000,3.393483,12.137701,0.525199,1.564841,2.425261,0.337656,6.147949
0.020000,3.425440,12.133217,0.557469,1.613504,2.433132,0.393527,6.139610
0.020000,3.458325,12.128319,0.590716,1.662348,2.442196,0.453224,6.131038
0.020000,3.492134,12.122982,0.624944,1.711398,2.452530,0.516714,6.122235
0.020000,3.526867,12.117182,0.660158,1.760683,2.464206,0.583796,6.113208
0.020000,3.562521,12.110893,0.696363,1.810228,2.477293,0.654339,6.103961
0.020000,3.599094,12.104088,0.733564,1.860066,2.491854,0.728048,6.094502
0.020000,3.636586,12.096741,0.771768,1.910224,2.507947,0.804654,6.084837
0.020000,3.674993,12.088824,0.810983,1.960737,2.525623,0.883766,6.074974
0.020000,3.714314,12.080309,0.851216,2.011635,2.544922,0.964975,6.064921
0.020000,3.754548,12.071169,0.892475,2.062953,2.565878,1.047808,6.054686
0.020000,3.795693,12.061374,0.934769,2.114723,2.588512,1.131709,6.044281
0.020000,3.837747,12.050896,0.978109,2.166980,2.612834,1.216090,6.033715
0.020000,3.880708,12.039704,1.022504,2.219757,2.638841,1.300347,6.023000
0.020000,3.924575,12.027770,1.067966,2.273087,2.666516,1.383752,6.012147
0.020000,3.969347,12.015063,1.114506,2.327004,2.695829,1.465653,6.001170
0.020000,4.015022,12.001554,1.162137,2.381538,2.726735,1.545308,5.990081
0.020000,4.061598,11.987212,1.210871,2.436722,2.759175,1.621967,5.978895
0.020000,4.109075,11.972007,1.260723,2.492583,2.793074,1.694953,5.967625
0.020000,4.157450,11.955909,1.311706,2.549150,2.828344,1.763534,5.956289
0.020000,4.206722,11.938889,1.363835,2.606448,2.864885,1.827050,5.944900
0.020000,4.256889,11.920916,1.417125,2.664500,2.902584,1.884903,5.933476
0.020000,4.307951,11.901961,1.471591,2.723326,2.941314,1.936530,5.922032
0.020000,4.359906,11.881995,1.527250,2.782945,2.980943,1.981469,5.910587
0.020000,4.412751,11.860989,1.584118,2.843371,3.021330,2.019342,5.899158
0.020000,4.466487,11.838917,1.642210,2.904618,3.062328,2.049876,5.887762
0.020000,4.521111,11.815750,1.701544,2.966694,3.103786,2.072893,5.876418
0.020000,4.576623,11.791462,1.762136,3.029605,3.145553,2.088356,5.865142
0.020000,4.633020,11.766028,1.824003,3.093354,3.187479,2.096322,5.853954
0.020000,4.690302,11.739424,1.887162,3.157943,3.229419,2.096980,5.842871
0.020000,4.748468,11.711626,1.951629,3.223367,3.271232,2.090632,5.831912
0.020000,4.807517,11.682611,2.017422,3.289623,3.312785,2.077686,5.821094
0.020000,4.867449,11.652360,2.084556,3.356702,3.353958,2.058663,5.810436
0.020000,4.928263,11.620852,2.153048,3.424595,3.394642,2.034165,5.799954
0.020000,4.989806,11.588152,2.222738,3.484514,2.995952,-19.934477,5.789691
0.020000,5.051769,11.554421,2.293287,3.527460,2.147311,-42.432077,5.779711
0.020000,5.113845,11.519834,2.364349,3.553078,1.280883,-43.321375,5.770069
0.020000,5.175884,11.484495,2.435747,3.569909,0.841562,-21.966054,5.760790
0.020000,5.237890,11.448423,2.507481,3.586707,0.839897,-0.083267,5.751873
0.020000,5.299865,11.411641,2.579550,3.603452,0.837246,-0.132555,5.743318
0.020000,5.361816,11.374168,2.651953,3.620127,0.833744,-0.175107,5.735123
0.020000,5.423747,11.336026,2.724687,3.636717,0.829519,-0.211244,5.727285
0.020000,5.485664,11.297236,2.797751,3.653211,0.824692,-0.241344,5.719803
0.020000,5.547572,11.257818,2.871143,3.669599,0.819377,-0.265754,5.712675
0.020000,5.609478,11.217794,2.944861,3.685872,0.813679,-0.284873,5.705898
